tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
148502622,0.894797,0.039713,,0.808860,-0.017957,0.939902,0.091998
148602622,0.891740,0.051264,,0.789492,-0.011367,0.938861,0.109999
148702622,0.889524,0.042563,,0.787012,-0.021511,0.938538,0.103340
148802622,0.689756,0.017374,,0.363390,-0.120765,0.819958,0.145952
148902622,0.212413,-0.140532,,0.125891,-0.222033,0.279247,-0.052018
149002622,0.194546,-0.233203,,0.161166,-0.261122,0.216033,-0.195920
149102622,0.591465,-0.122405,,0.572531,-0.138301,0.608557,-0.103477
149202622,0.641295,-0.141548,,0.623242,-0.156299,0.658565,-0.122475
149302622,0.544939,-0.145925,,0.526078,-0.162209,0.563031,-0.127068
149402622,0.235400,-0.241108,,0.198217,-0.288198,0.275504,-0.193862
149502622,0.203717,-0.269974,,0.175497,-0.295636,0.223737,-0.243907
149602622,0.084014,-0.235561,,0.062671,-0.262566,0.106449,-0.180428
149702622,0.056876,-0.252438,,0.031973,-0.279613,0.075505,-0.186347
149802622,0.056593,-0.242551,,0.032140,-0.268421,0.073764,-0.180526
149902622,0.055627,-0.237200,,0.034142,-0.260332,0.071817,-0.183760
150002622,0.062168,-0.227459,,0.041344,-0.250710,0.078929,-0.176000
150102622,0.060562,-0.239121,,0.037029,-0.264249,0.077856,-0.181609
150202622,0.061774,-0.250004,,0.038621,-0.275475,0.079609,-0.194033
150302622,0.360338,-0.329716,,0.344535,-0.348456,0.377150,-0.309525
150402622,0.360318,-0.339773,,0.345953,-0.356240,0.375469,-0.321767
150502622,0.354930,-0.327995,,0.340851,-0.343826,0.369309,-0.310435
150602622,0.349636,-0.347365,,0.334407,-0.364463,0.365060,-0.328823
150702622,0.102358,-0.278605,,0.068508,-0.303720,0.119940,-0.231972
150802622,0.102538,-0.298169,,0.068807,-0.324032,0.121400,-0.258942
150902622,0.079254,-0.303282,,0.038462,-0.338124,0.102748,-0.215177
151002622,0.078808,-0.315375,,0.051026,-0.351124,0.113197,-0.240359
151102622,-0.006881,-0.337368,,-0.027023,-0.359401,0.009761,-0.291063
151202622,-0.006155,-0.317869,,-0.021549,-0.336833,0.008965,-0.281674
151302622,0.004513,-0.308041,,-0.015911,-0.328976,0.019973,-0.259283
151402622,0.037475,-0.296807,,0.008440,-0.327171,0.058518,-0.214472
151502622,0.060941,-0.295326,,0.006868,-0.335880,0.087192,-0.201284
151602622,0.068759,-0.284720,,0.036215,-0.330936,0.108803,-0.175504
151702622,0.080018,-0.321174,,0.035869,-0.390734,0.164390,-0.195768
151802622,0.074507,-0.374832,,0.015550,-0.438412,0.135860,-0.222924
151902622,0.064427,-0.375313,,-0.011374,-0.448468,0.132346,-0.219594
152002622,0.066211,-0.353445,,0.016323,-0.421068,0.136418,-0.208833
152102622,0.052898,-0.318181,,-0.001201,-0.398521,0.141509,-0.153627
152202622,0.048925,-0.341624,,0.012873,-0.412075,0.128076,-0.212004
